Transaction_ID,Customer_ID,Account_Number,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Merchant,Merchant_Category,Province,City,Device_Type,Device_OS,IP_Address,Login_Location,Card_Present,International,Previous_24hr_Transactions,Previous_24hr_Amount,Account_Age_Months,Customer_Age,Risk_Score,Fraud_Indicators,Fraud_Flag,Fraud_Type,Age_Group
T0000001,C00997,****1954,2025-02-08,05:00:00,Deposit,4376.75,Checkers,Grocery,Gauteng,Johannesburg,Mobile App,Android,196.1.165.77,Gauteng,Yes,No,10,1735.73,110,24,17,No Fraud,No,No Fraud,18-30
T0000002,C01088,****5947,2025-11-03,19:01:00,ATM Withdrawal,3233.82,Eskom,Utilities,Gauteng,Johannesburg,ATM,Mac,196.1.127.93,Gauteng,Yes,No,1,17253.84,214,48,67,No Fraud,No,No Fraud,41-50
T0000003,C01104,****4837,2025-02-18,20:04:00,ATM Withdrawal,2503.82,Takealot,Electronics,Gauteng,Johannesburg,Mobile App,iPhone,196.1.215.126,Gauteng,No,No,12,17674.85,56,71,63,No Fraud,No,No Fraud,71-80
T0000004,C00274,****6313,2025-05-06,13:58:00,Deposit,1880.85,Takealot,Electronics,Gauteng,Johannesburg,Internet Banking,Mac,196.1.144.221,Gauteng,Yes,No,19,5797.62,150,51,26,No Fraud,No,No Fraud,51-60
T0000005,C00798,****2975,2025-02-18,17:34:00,Bill Payment,4136.88,Checkers,Grocery,Gauteng,Johannesburg,Mobile App,Android,196.1.227.53,Gauteng,Yes,No,0,14895.33,45,47,61,No Fraud,No,No Fraud,41-50
T0000006,C00809,****1515,2025-02-28,20:25:00,Deposit,3660.87,Engen,Fuel,Gauteng,Johannesburg,Mobile App,Mac,196.1.77.175,Gauteng,No,No,4,14111.95,27,57,57,No Fraud,No,No Fraud,51-60
T0000007,C00743,****1154,2025-04-21,21:35:00,Online Transfer,37824.39,Shoprite,Grocery,KwaZulu-Natal,Durban,Mobile App,Windows,196.1.160.167,KwaZulu-Natal,No,Yes,0,26.88,73,65,74,High Amount;New Device,Yes,Identity Theft,61-70
T0000008,C00033,****3703,2025-12-25,05:33:00,ATM Withdrawal,2317.2,Eskom,Utilities,Gauteng,Johannesburg,Mobile App,Mac,196.1.168.192,Gauteng,Yes,No,16,14840.32,218,18,44,No Fraud,No,No Fraud,
T0000009,C00816,****5024,2025-08-20,05:52:00,Online Transfer,384.35,Eskom,Utilities,Eastern Cape,Gqeberha,Branch,Android,196.1.200.160,Eastern Cape,Yes,No,1,4781.51,7,79,66,No Fraud,No,No Fraud,71-80
T0000010,C00948,****1251,2025-04-20,21:53:00,Online Transfer,1770.04,Shoprite,Grocery,Eastern Cape,Gqeberha,Mobile App,Mac,196.1.64.115,Eastern Cape,No,No,10,15252.14,186,70,8,No Fraud,No,No Fraud,61-70
T0000011,C00071,****3577,2025-09-30,01:05:00,Deposit,1102.81,Takealot,Electronics,Gauteng,Johannesburg,Branch,Android,196.1.40.12,Gauteng,Yes,No,4,5378.6,6,41,62,No Fraud,No,No Fraud,41-50
T0000012,C00893,****4775,2025-07-03,18:59:00,Deposit,3149.51,Engen,Fuel,Western Cape,Cape Town,Internet Banking,iPhone,196.1.120.220,Western Cape,Yes,No,16,13745.72,27,68,15,No Fraud,No,No Fraud,61-70
T0000013,C01010,****1741,2025-10-02,09:19:00,Bill Payment,891.34,Checkers,Grocery,KwaZulu-Natal,Durban,ATM,Android,196.1.26.91,KwaZulu-Natal,Yes,No,5,249.37,184,32,65,No Fraud,No,No Fraud,31-40
T0000014,C00561,****1039,2025-07-05,05:00:00,Online Transfer,3578.61,Eskom,Utilities,Western Cape,Cape Town,ATM,iPhone,196.1.154.210,Western Cape,Yes,No,15,16292.78,88,41,49,No Fraud,No,No Fraud,41-50
T0000015,C00773,****6500,2025-07-17,10:51:00,ATM Withdrawal,1042.28,Takealot,Electronics,Gauteng,Johannesburg,Mobile App,iPhone,196.1.235.94,Gauteng,Yes,No,5,18714.57,64,56,69,No Fraud,No,No Fraud,51-60
T0000016,C00973,****1148,2025-07-28,10:49:00,Bill Payment,2603.95,Shoprite,Grocery,Gauteng,Johannesburg,ATM,Android,196.1.171.123,Gauteng,Yes,No,8,18312.61,161,66,45,No Fraud,No,No Fraud,61-70
T0000017,C01098,****9010,2025-05-17,15:28:00,ATM Withdrawal,522.64,Shoprite,Grocery,Eastern Cape,Gqeberha,Branch,iPhone,196.1.14.96,Eastern Cape,Yes,No,4,13121.16,13,24,4,No Fraud,No,No Fraud,18-30
T0000018,C00111,****4422,2025-08-31,00:56:00,ATM Withdrawal,368.88,Checkers,Grocery,Gauteng,Johannesburg,Branch,Mac,196.1.106.252,Gauteng,Yes,No,9,11110.19,64,30,5,No Fraud,No,No Fraud,18-30
T0000019,C00805,****1025,2025-08-01,04:20:00,EFT,781.59,Shoprite,Grocery,Gauteng,Johannesburg,Mobile App,Mac,196.1.225.31,Gauteng,Yes,No,2,18789.83,168,42,13,No Fraud,No,No Fraud,41-50
T0000020,C00119,****1212,2025-11-02,10:41:00,Deposit,2633.95,Engen,Fuel,KwaZulu-Natal,Durban,Mobile App,Mac,196.1.191.170,KwaZulu-Natal,No,No,19,4072.94,159,76,6,No Fraud,No,No Fraud,71-80
T0000021,C00592,****5200,2025-03-24,04:18:00,Online Transfer,2460.14,Takealot,Electronics,Eastern Cape,Gqeberha,ATM,Windows,196.1.54.51,Eastern Cape,Yes,No,14,11064.78,13,80,34,No Fraud,No,No Fraud,71-80
T0000022,C00744,****4547,2025-10-17,13:10:00,POS Purchase,4994.85,Takealot,Electronics,Gauteng,Johannesburg,Mobile App,Android,196.1.158.67,Gauteng,No,No,7,19766.75,109,61,66,No Fraud,No,No Fraud,61-70
T0000023,C00625,****1267,2025-07-28,20:56:00,ATM Withdrawal,4652.78,Shoprite,Grocery,KwaZulu-Natal,Durban,Mobile App,Android,196.1.20.172,KwaZulu-Natal,Yes,No,1,19245.05,48,63,54,No Fraud,No,No Fraud,61-70
T0000024,C00753,****5892,2025-09-01,04:39:00,Deposit,3221.42,Checkers,Grocery,KwaZulu-Natal,Durban,Mobile App,Mac,196.1.60.252,KwaZulu-Natal,Yes,No,6,19802.58,115,65,46,No Fraud,No,No Fraud,61-70
T0000025,C00798,****1356,2025-06-06,18:24:00,Bill Payment,3817.18,Takealot,Electronics,Eastern Cape,Gqeberha,Branch,Windows,196.1.122.245,Eastern Cape,Yes,No,9,11482.12,60,71,56,No Fraud,No,No Fraud,71-80
T0000026,C01150,****8732,2025-05-16,23:06:00,Deposit,4329.16,Checkers,Grocery,Eastern Cape,Gqeberha,Mobile App,Mac,196.1.191.14,Eastern Cape,Yes,No,4,4386.18,12,54,13,No Fraud,No,No Fraud,51-60
T0000027,C00778,****3444,2025-06-25,01:26:00,Deposit,4744.86,Checkers,Grocery,Western Cape,Cape Town,Mobile App,Mac,196.1.99.242,Western Cape,Yes,No,5,12405.42,41,65,6,No Fraud,No,No Fraud,61-70
T0000028,C00122,****3379,2025-03-16,20:52:00,ATM Withdrawal,3634.49,Shoprite,Grocery,Gauteng,Johannesburg,Branch,Android,196.1.171.85,Gauteng,No,No,9,3232.73,185,25,12,No Fraud,No,No Fraud,18-30
T0000029,C00128,****9412,2025-11-17,03:01:00,Deposit,1827.95,Engen,Fuel,Western Cape,Cape Town,Internet Banking,Windows,196.1.154.49,Western Cape,Yes,No,4,5779.26,183,31,56,No Fraud,No,No Fraud,31-40
T0000030,C00648,****3968,2025-09-03,07:03:00,EFT,3059.94,Shoprite,Grocery,Eastern Cape,Gqeberha,Branch,Mac,196.1.7.116,Eastern Cape,Yes,No,3,15484.89,49,35,23,No Fraud,No,No Fraud,31-40
T0000031,C00278,****8535,2025-11-23,16:54:00,Online Transfer,4630.46,Takealot,Electronics,KwaZulu-Natal,Durban,Internet Banking,iPhone,196.1.17.52,KwaZulu-Natal,No,No,1,9879.14,2,44,46,No Fraud,No,No Fraud,41-50
T0000032,C01042,****7186,2025-03-06,05:55:00,EFT,4442.67,Checkers,Grocery,Eastern Cape,Gqeberha,Internet Banking,iPhone,196.1.168.182,Eastern Cape,Yes,No,5,3158.93,57,47,51,No Fraud,No,No Fraud,41-50
